,object,n_pos,n_neg,succ_r
0,kit_BakingSoda,93,3,0.96875
1,kit_BathDetergent,46,29,0.613
2,kit_BroccoliSoup,147,32,0.821
3,kit_CoughDropsLemon,179,23,0.886
4,kit_Curry,70,8,0.897
5,kit_FizzyTabletsCalcium,47,6,0.886
6,kit_InstantSauce,59,54,0.522
7,kit_NutCandy,17,6,0.739
8,kit_PotatoeDumplings,121,31,0.796
9,kit_Sprayflask,32,3,0.914
10,kit_TomatoSoup,33,14,0.702
11,kit_YellowSaltCube2,119,53,0.691
