,object,n_pos,n_neg,succ_r
0,kit_BroccoliSoup,319,71,0.8179487179487179
1,kit_CoughDropsLemon,283,104,0.7312661498708011
2,kit_Curry,211,165,0.5611702127659575
3,kit_FizzyTabletsCalcium,135,182,0.42586750788643535
4,kit_NutCandy,222,174,0.5606060606060606
5,kit_PotatoeDumplings,276,119,0.6987341772151898
6,kit_TomatoSoup,245,142,0.6330749354005168
7,kit_YellowSaltCube2,174,187,0.481994459833795
